dataset,designation,prob,label,Rstar_Rsun,Rp_Re,P_days,Depth_ppm,Teff_K,Dur_hr
KOI,K02842.02,1.0,1.0,0.328,1.72,5.14892346,2355.0,3464.0,0.9613
KOI,K02705.01,1.0,1.0,0.389,1.24,2.8867624,631.8,3483.0,0.9879
KOI,K00817.02,1.0,1.0,0.524,1.82,8.29561738,824.3,3747.0,1.3421
KOI,K02842.03,1.0,1.0,0.328,1.4,3.036208739,1820.5,3464.0,0.9324
KOI,K00899.03,1.0,1.0,0.411,1.11,15.36845737,756.1,3561.0,2.4714
KOI,K03497.01,1.0,1.0,0.344,0.8,20.35971899,345.7,3419.0,2.1521
KOI,K00571.01,1.0,1.0,0.443,1.14,7.26731094,659.1,3751.0,2.2691
KOI,K00314.02,1.0,1.0,0.503,1.24,23.08902241,598.3,3846.0,1.7012
KOI,K00314.01,1.0,1.0,0.503,1.42,13.78109471,756.0,3846.0,2.3188
KOI,K00571.03,1.0,1.0,0.443,0.97,3.886795001,471.3,3751.0,1.7574
KOI,K01422.03,1.0,1.0,0.383,1.14,10.8644095,748.7,3526.0,1.853
KOI,K03094.01,1.0,1.0,0.497,1.33,4.5770016,710.0,3805.0,0.949
KOI,K01843.01,1.0,1.0,0.522,1.57,4.194496867,660.7,3706.0,1.7807
KOI,K00478.01,1.0,1.0,0.537,2.46,11.023474798,1795.5,3744.0,1.4814
KOI,K00247.01,1.0,1.0,0.509,1.91,13.81504449,1032.6,3732.0,2.3244
KOI,K01725.01,1.0,1.0,0.422,1.6,9.8786461,1472.7,3609.0,1.8915
KOI,K01422.01,1.0,1.0,0.383,1.38,5.841636615,1336.3,3526.0,1.8734
KOI,K03034.01,1.0,1.0,0.48,1.66,31.0209175,859.5,3720.0,2.012
KOI,K00249.01,1.0,1.0,0.369,1.57,9.549277089,1826.9,3547.0,1.5832
KOI,K00899.01,1.0,1.0,0.411,1.16,7.11373257,807.6,3561.0,2.1764
KOI,K01868.01,1.0,1.0,0.516,1.93,17.76076524,1287.2,3826.0,1.6679
KOI,K01174.01,1.0,1.0,0.726,2.99,129995.7784,1474.9,4500.0,9.408
KOI,K01867.02,1.0,1.0,0.506,2.04,13.96950181,1110.0,3716.0,1.5871
KOI,K04290.01,1.0,1.0,0.2,0.79,4.83809469,1544.0,3187.0,1.096
KOI,K06863.01,1.0,1.0,0.193,0.95,4.48559215,2265.0,3236.0,0.8161
KOI,K01867.03,1.0,1.0,0.506,1.04,5.21230171,430.0,3716.0,2.098
KOI,K00156.01,0.9782608695652174,1.0,0.54,1.29,8.041347775,591.0,3980.0,2.6332
KOI,K00571.02,0.9782608695652174,1.0,0.443,1.29,13.3430025,799.7,3751.0,2.7399
KOI,K00952.01,0.9782608695652174,1.0,0.498,1.94,5.90127815,1525.2,3731.0,2.1979
KOI,K00251.01,0.9782608695652174,1.0,0.508,2.54,4.164384505,2338.0,3808.0,1.8464
KOI,K01422.05,0.9782608695652174,1.0,0.383,1.06,34.1420506,788.0,3526.0,2.945
KOI,K02036.01,0.9782608695652174,1.0,0.539,1.8,8.41100305,755.6,3757.0,2.4553
KOI,K01515.02,0.9782608695652174,1.0,0.49,1.23,7.06117322,481.7,4042.0,1.0406
KOI,K00253.01,0.9782608695652174,1.0,0.576,2.73,6.383159135,2313.2,3757.0,1.7504
KOI,K01907.01,0.9782608695652174,1.0,0.514,1.75,11.35010642,1221.0,3597.0,2.2792
KOI,K03138.02,0.9782608695652174,1.0,0.118,0.53,19.5352551,1732.0,2703.0,1.013
KOI,K03444.04,0.9782608695652174,1.0,0.529,0.74,14.1502311,208.1,3705.0,1.503
KOI,K01201.01,0.9782608695652174,1.0,0.424,1.01,2.757584622,563.1,3683.0,0.9267
KOI,K01078.02,0.9782608695652174,1.0,0.46,2.05,6.877446033,1632.3,3789.0,1.3692
KOI,K00818.01,0.9782608695652174,1.0,0.517,2.1,8.11437482,1558.0,3692.0,2.2736
KOI,K02704.02,0.9782608695652174,1.0,0.18,0.92,2.984157711,2598.0,3157.0,1.2637
KOI,K00886.01,0.9782608695652174,1.0,0.47,1.72,8.01078456,1333.6,3713.0,2.312
KOI,K02704.01,0.9782608695652174,1.0,0.18,1.56,4.871223664,6462.0,3157.0,1.5916
KOI,K01078.01,0.9782608695652174,1.0,0.46,1.65,3.353732008,1264.7,3789.0,1.4598
KOI,K02090.01,0.9782608695652174,1.0,0.578,1.69,5.132486123,908.4,3879.0,1.4575
KOI,K00500.04,0.9782608695652174,1.0,0.567,1.33,4.645382149,565.5,4041.0,2.0271
KOI,K02156.01,0.9782608695652174,1.0,0.433,1.66,2.852348262,1402.9,3731.0,0.7051
KOI,K00886.03,0.9782608695652174,1.0,0.47,1.3,20.99587872,767.3,3713.0,2.6333
