dataset,designation,prob,label,Rp_Re,Depth_ppm,P_days,Dur_hr,Rstar_Rsun,Teff_K
KOI,K02842.02,1.0,1.0,1.72,2355.0,5.14892346,0.9613,0.328,3464.0
KOI,K02705.01,1.0,1.0,1.24,631.8,2.8867624,0.9879,0.389,3483.0
KOI,K00817.02,1.0,1.0,1.82,824.3,8.29561738,1.3421,0.524,3747.0
KOI,K02842.03,1.0,1.0,1.4,1820.5,3.036208739,0.9324,0.328,3464.0
KOI,K00899.03,1.0,1.0,1.11,756.1,15.36845737,2.4714,0.411,3561.0
KOI,K03497.01,1.0,1.0,0.8,345.7,20.35971899,2.1521,0.344,3419.0
KOI,K00571.01,1.0,1.0,1.14,659.1,7.26731094,2.2691,0.443,3751.0
KOI,K00314.02,1.0,1.0,1.24,598.3,23.08902241,1.7012,0.503,3846.0
KOI,K00314.01,1.0,1.0,1.42,756.0,13.78109471,2.3188,0.503,3846.0
KOI,K00571.03,1.0,1.0,0.97,471.3,3.886795001,1.7574,0.443,3751.0
KOI,K01422.03,1.0,1.0,1.14,748.7,10.8644095,1.853,0.383,3526.0
KOI,K03094.01,1.0,1.0,1.33,710.0,4.5770016,0.949,0.497,3805.0
KOI,K01843.01,1.0,1.0,1.57,660.7,4.194496867,1.7807,0.522,3706.0
KOI,K00478.01,1.0,1.0,2.46,1795.5,11.023474798,1.4814,0.537,3744.0
KOI,K00247.01,1.0,1.0,1.91,1032.6,13.81504449,2.3244,0.509,3732.0
KOI,K01725.01,1.0,1.0,1.6,1472.7,9.8786461,1.8915,0.422,3609.0
KOI,K01422.01,1.0,1.0,1.38,1336.3,5.841636615,1.8734,0.383,3526.0
KOI,K03034.01,1.0,1.0,1.66,859.5,31.0209175,2.012,0.48,3720.0
KOI,K00249.01,1.0,1.0,1.57,1826.9,9.549277089,1.5832,0.369,3547.0
KOI,K00899.01,1.0,1.0,1.16,807.6,7.11373257,2.1764,0.411,3561.0
KOI,K01868.01,1.0,1.0,1.93,1287.2,17.76076524,1.6679,0.516,3826.0
KOI,K01174.01,1.0,1.0,2.99,1474.9,129995.7784,9.408,0.726,4500.0
KOI,K01867.02,1.0,1.0,2.04,1110.0,13.96950181,1.5871,0.506,3716.0
KOI,K04290.01,1.0,1.0,0.79,1544.0,4.83809469,1.096,0.2,3187.0
KOI,K06863.01,1.0,1.0,0.95,2265.0,4.48559215,0.8161,0.193,3236.0
KOI,K01867.03,1.0,1.0,1.04,430.0,5.21230171,2.098,0.506,3716.0
KOI,K00156.01,0.9782608695652174,1.0,1.29,591.0,8.041347775,2.6332,0.54,3980.0
KOI,K00571.02,0.9782608695652174,1.0,1.29,799.7,13.3430025,2.7399,0.443,3751.0
KOI,K00952.01,0.9782608695652174,1.0,1.94,1525.2,5.90127815,2.1979,0.498,3731.0
KOI,K00251.01,0.9782608695652174,1.0,2.54,2338.0,4.164384505,1.8464,0.508,3808.0
KOI,K01422.05,0.9782608695652174,1.0,1.06,788.0,34.1420506,2.945,0.383,3526.0
KOI,K02036.01,0.9782608695652174,1.0,1.8,755.6,8.41100305,2.4553,0.539,3757.0
KOI,K01515.02,0.9782608695652174,1.0,1.23,481.7,7.06117322,1.0406,0.49,4042.0
KOI,K00253.01,0.9782608695652174,1.0,2.73,2313.2,6.383159135,1.7504,0.576,3757.0
KOI,K01907.01,0.9782608695652174,1.0,1.75,1221.0,11.35010642,2.2792,0.514,3597.0
KOI,K03138.02,0.9782608695652174,1.0,0.53,1732.0,19.5352551,1.013,0.118,2703.0
KOI,K03444.04,0.9782608695652174,1.0,0.74,208.1,14.1502311,1.503,0.529,3705.0
KOI,K01201.01,0.9782608695652174,1.0,1.01,563.1,2.757584622,0.9267,0.424,3683.0
KOI,K01078.02,0.9782608695652174,1.0,2.05,1632.3,6.877446033,1.3692,0.46,3789.0
KOI,K00818.01,0.9782608695652174,1.0,2.1,1558.0,8.11437482,2.2736,0.517,3692.0
KOI,K02704.02,0.9782608695652174,1.0,0.92,2598.0,2.984157711,1.2637,0.18,3157.0
KOI,K00886.01,0.9782608695652174,1.0,1.72,1333.6,8.01078456,2.312,0.47,3713.0
KOI,K02704.01,0.9782608695652174,1.0,1.56,6462.0,4.871223664,1.5916,0.18,3157.0
KOI,K01078.01,0.9782608695652174,1.0,1.65,1264.7,3.353732008,1.4598,0.46,3789.0
KOI,K02090.01,0.9782608695652174,1.0,1.69,908.4,5.132486123,1.4575,0.578,3879.0
KOI,K00500.04,0.9782608695652174,1.0,1.33,565.5,4.645382149,2.0271,0.567,4041.0
KOI,K02156.01,0.9782608695652174,1.0,1.66,1402.9,2.852348262,0.7051,0.433,3731.0
KOI,K00886.03,0.9782608695652174,1.0,1.3,767.3,20.99587872,2.6333,0.47,3713.0
KOI,K06513.01,0.9782608695652174,1.0,1.17,464.1,5.62241111,1.185,0.541,3894.0
KOI,K01397.01,0.9782608695652174,1.0,1.89,1496.6,6.247030799,1.4848,0.487,3821.0
KOI,K07375.01,0.9782608695652174,1.0,1.51,554.7,4.84847245,0.874,0.647,4137.0
KOI,K00571.04,0.9782608695652174,1.0,1.15,661.3,22.40777833,3.2881,0.443,3751.0
KOI,K00248.04,0.9782608695652174,1.0,1.53,813.8,18.59611518,2.3052,0.539,3834.0
KOI,K00936.01,0.9782608695652174,1.0,2.13,2237.0,9.467821474,2.4327,0.458,3582.0
KOI,K02191.01,0.9782608695652174,1.0,1.15,460.2,8.84784273,2.0572,0.552,3867.0
KOI,K00784.02,0.9782608695652174,1.0,1.91,1053.3,10.06524317,1.369,0.56,4077.0
KOI,K01681.01,0.9782608695652174,1.0,1.41,614.7,6.93910337,2.977,0.42,3638.0
KOI,K01078.03,0.9782608695652174,1.0,1.87,1629.8,28.46464804,2.6657,0.46,3789.0
KOI,K01422.02,0.9782608695652174,1.0,1.52,1607.5,19.85029495,2.8407,0.383,3526.0
KOI,K00899.02,0.9782608695652174,1.0,0.91,509.2,3.306551643,1.8177,0.411,3561.0
KOI,K01141.01,0.9782608695652174,1.0,1.38,643.4,5.72812616,2.0295,0.548,3968.0
KOI,K02862.01,0.9782608695652174,1.0,1.64,1003.4,24.5752524,2.258,0.512,3678.0
KOI,K05662.01,0.9782608695652174,0.0,1.45,706.7,9.5497037,1.881,0.569,3705.0
KOI,K02793.01,0.9782608695652174,1.0,1.93,1932.5,4.49686066,1.7306,0.444,3698.0
KOI,K00898.02,0.9782608695652174,1.0,1.66,1037.4,5.169804269,2.153,0.509,3906.0
KOI,K03138.01,0.9782608695652174,1.0,0.49,1679.0,8.68910764,1.1627,0.118,2703.0
KOI,K02179.01,0.9782608695652174,1.0,1.59,944.9,14.87149773,2.4076,0.524,3825.0
KOI,K03144.01,0.9782608695652174,1.0,1.59,1056.0,8.07394097,2.455,0.398,3675.0
KOI,K00952.02,0.9782608695652174,1.0,1.83,1367.6,8.75209691,2.3742,0.498,3731.0
KOI,K00248.02,0.9782608695652174,1.0,2.13,1387.2,10.91274065,2.1801,0.539,3834.0
KOI,K05327.01,0.9782608695652174,1.0,2.09,1421.0,5.43361347,1.0338,0.566,3694.0
KOI,K00463.01,0.9782608695652174,1.0,1.55,2604.6,18.47762694,1.94,0.283,3395.0
KOI,K00222.02,0.9514563106796117,1.0,1.6,816.7,12.7945474,3.4197,0.571,4090.0
KOI,K00494.01,0.9514563106796117,1.0,1.7,1130.8,25.69581456,4.0251,0.477,3787.0
KOI,K00438.02,0.9514563106796117,1.0,1.87,1078.1,52.6615266,3.1592,0.539,3984.0
KOI,K00438.01,0.9514563106796117,1.0,2.01,1007.4,5.931196562,2.4999,0.539,3984.0
KOI,K00227.01,0.9514563106796117,1.0,2.45,2155.7,17.65737838,3.509,0.47,3745.0
KOI,K00253.02,0.9514563106796117,1.0,1.57,769.5,20.6180348,3.267,0.576,3757.0
KOI,K01146.01,0.9514563106796117,1.0,0.74,369.5,7.09712124,2.1059,0.389,3569.0
KOI,K01833.01,0.9514563106796117,1.0,1.74,763.3,3.69298623,1.7744,0.572,4402.0
KOI,K01649.01,0.9514563106796117,1.0,1.75,416.2,4.04355245,1.965,0.532,3871.0
KOI,K00250.01,0.9514563106796117,1.0,2.83,2794.7,12.282998287,2.7096,0.537,3879.0
KOI,K01838.01,0.9514563106796117,1.0,2.73,1147.0,16.7364755,2.151,0.653,4334.0
KOI,K06568.01,0.9514563106796117,1.0,0.65,166.0,6.27651592,1.973,0.515,3914.0
KOI,K04252.01,0.9514563106796117,1.0,0.72,173.5,15.5714121,2.294,0.557,3872.0
KOI,K02036.02,0.9514563106796117,1.0,1.05,334.3,5.79529495,2.272,0.539,3757.0
KOI,K03010.01,0.9514563106796117,1.0,1.39,714.3,60.8660974,4.397,0.522,3808.0
KOI,K01713.01,0.9514563106796117,1.0,1.34,545.8,6.82778157,2.3726,0.574,4198.0
KOI,K00676.02,0.9514563106796117,1.0,2.26,1723.2,2.453236139,1.6691,0.533,3912.0
KOI,K00500.03,0.9514563106796117,1.0,1.3,539.0,3.072146607,1.8732,0.567,4041.0
KOI,K00222.01,0.9514563106796117,1.0,2.0,1286.0,6.312508525,2.7455,0.571,4090.0
KOI,K00676.01,0.9514563106796117,1.0,3.22,3139.0,7.972510087,2.9754,0.533,3912.0
KOI,K03090.01,0.9514563106796117,1.0,1.05,362.7,3.82223397,1.924,0.514,3729.0
KOI,K00812.01,0.9514563106796117,1.0,2.03,1632.6,3.340218842,1.9104,0.493,3950.0
KOI,K00886.02,0.9514563106796117,1.0,1.29,759.2,12.07134205,4.3224,0.47,3713.0
KOI,K00500.02,0.9514563106796117,1.0,2.16,1491.3,9.521644639,2.3569,0.567,4041.0
KOI,K00500.01,0.9514563106796117,1.0,2.16,1480.1,7.053527145,2.3982,0.567,4041.0
KOI,K06471.01,0.9514563106796117,0.0,0.85,206.8,8.65311903,1.273,0.55,3929.0
KOI,K00817.01,0.9514563106796117,1.0,1.8,1182.3,23.96793669,3.827,0.524,3747.0
KOI,K05826.01,0.9514563106796117,1.0,1.53,585.7,30.561533,2.227,0.664,4294.0
KOI,K01843.02,0.9514563106796117,1.0,0.86,176.6,6.35585682,1.55,0.522,3706.0
KOI,K00961.03,0.9514563106796117,1.0,0.66,1124.8,1.865114193,0.4279,0.148,3292.0
KOI,K03102.01,0.9514563106796117,1.0,0.61,294.2,9.3210841,1.81,0.35,3773.0
KOI,K00898.01,0.9514563106796117,1.0,2.23,1897.8,9.7704486,2.4517,0.509,3906.0
KOI,K01422.04,0.9514563106796117,1.0,1.18,983.0,63.3354719,3.651,0.383,3526.0
KOI,K07706.01,0.9514563106796117,1.0,1.19,607.9,42.049523793,2.1372,0.48,4281.0
KOI,K00605.01,0.9514563106796117,1.0,1.77,936.8,2.628117322,1.8289,0.557,3939.0
KOI,K01430.02,0.9514563106796117,1.0,2.08,908.9,22.92886314,2.0831,0.611,4463.0
KOI,K00250.04,0.9514563106796117,1.0,2.13,1537.7,46.82767725,1.9033,0.537,3879.0
KOI,K00248.01,0.9514563106796117,1.0,2.25,1765.9,7.203855862,2.5418,0.539,3834.0
KOI,K00947.01,0.9514563106796117,1.0,1.83,1585.1,28.59914031,3.6567,0.461,3755.0
KOI,K02031.01,0.9514563106796117,1.0,1.67,637.3,9.30413878,1.9254,0.658,4458.0
KOI,K00156.03,0.9514563106796117,1.0,2.08,1430.8,11.776132317,2.8971,0.54,3980.0
KOI,K02256.01,0.9514563106796117,1.0,2.02,1198.6,10.71253475,2.7186,0.544,4175.0
KOI,K00156.02,0.9514563106796117,1.0,1.0,358.7,5.188563677,2.3683,0.54,3980.0
KOI,K01833.03,0.9514563106796117,1.0,1.51,586.7,5.70940795,1.622,0.572,4402.0
KOI,K02179.02,0.9514563106796117,1.0,1.42,613.1,2.732767897,1.1102,0.524,3825.0
KOI,K00719.01,0.9514563106796117,1.0,1.8,577.6,9.034190783,1.5501,0.639,4499.0
KOI,K01058.01,0.9514563106796117,0.0,5.85,536.7,5.670155713,0.9361,0.183,3337.0
KOI,K00870.01,0.9514563106796117,1.0,1.73,961.4,5.912273234,2.3254,0.57,4072.0
