dataset,designation,prob,label,Depth_ppm,P_days,Teff_K,Rp_Re,Dur_hr,Rstar_Rsun
KOI,K02842.02,1.0,1.0,2355.0,5.14892346,3464.0,1.72,0.9613,0.328
KOI,K02705.01,1.0,1.0,631.8,2.8867624,3483.0,1.24,0.9879,0.389
KOI,K00817.02,1.0,1.0,824.3,8.29561738,3747.0,1.82,1.3421,0.524
KOI,K02842.03,1.0,1.0,1820.5,3.036208739,3464.0,1.4,0.9324,0.328
KOI,K00899.03,1.0,1.0,756.1,15.36845737,3561.0,1.11,2.4714,0.411
KOI,K03497.01,1.0,1.0,345.7,20.35971899,3419.0,0.8,2.1521,0.344
KOI,K00571.01,1.0,1.0,659.1,7.26731094,3751.0,1.14,2.2691,0.443
KOI,K00314.02,1.0,1.0,598.3,23.08902241,3846.0,1.24,1.7012,0.503
KOI,K00314.01,1.0,1.0,756.0,13.78109471,3846.0,1.42,2.3188,0.503
KOI,K00571.03,1.0,1.0,471.3,3.886795001,3751.0,0.97,1.7574,0.443
KOI,K01422.03,1.0,1.0,748.7,10.8644095,3526.0,1.14,1.853,0.383
KOI,K03094.01,1.0,1.0,710.0,4.5770016,3805.0,1.33,0.949,0.497
KOI,K01843.01,1.0,1.0,660.7,4.194496867,3706.0,1.57,1.7807,0.522
KOI,K00478.01,1.0,1.0,1795.5,11.023474798,3744.0,2.46,1.4814,0.537
KOI,K00247.01,1.0,1.0,1032.6,13.81504449,3732.0,1.91,2.3244,0.509
KOI,K01725.01,1.0,1.0,1472.7,9.8786461,3609.0,1.6,1.8915,0.422
KOI,K01422.01,1.0,1.0,1336.3,5.841636615,3526.0,1.38,1.8734,0.383
KOI,K03034.01,1.0,1.0,859.5,31.0209175,3720.0,1.66,2.012,0.48
KOI,K00249.01,1.0,1.0,1826.9,9.549277089,3547.0,1.57,1.5832,0.369
KOI,K00899.01,1.0,1.0,807.6,7.11373257,3561.0,1.16,2.1764,0.411
KOI,K01868.01,1.0,1.0,1287.2,17.76076524,3826.0,1.93,1.6679,0.516
KOI,K01174.01,1.0,1.0,1474.9,129995.7784,4500.0,2.99,9.408,0.726
KOI,K01867.02,1.0,1.0,1110.0,13.96950181,3716.0,2.04,1.5871,0.506
KOI,K04290.01,1.0,1.0,1544.0,4.83809469,3187.0,0.79,1.096,0.2
KOI,K06863.01,1.0,1.0,2265.0,4.48559215,3236.0,0.95,0.8161,0.193
