dataset,designation,prob,label,Depth_ppm,Dur_hr,Rstar_Rsun,P_days,Rp_Re,Teff_K
KOI,K02842.02,1.0,1.0,2355.0,0.9613,0.328,5.14892346,1.72,3464.0
KOI,K02705.01,1.0,1.0,631.8,0.9879,0.389,2.8867624,1.24,3483.0
KOI,K00817.02,1.0,1.0,824.3,1.3421,0.524,8.29561738,1.82,3747.0
KOI,K02842.03,1.0,1.0,1820.5,0.9324,0.328,3.036208739,1.4,3464.0
KOI,K00899.03,1.0,1.0,756.1,2.4714,0.411,15.36845737,1.11,3561.0
KOI,K03497.01,1.0,1.0,345.7,2.1521,0.344,20.35971899,0.8,3419.0
KOI,K00571.01,1.0,1.0,659.1,2.2691,0.443,7.26731094,1.14,3751.0
KOI,K00314.02,1.0,1.0,598.3,1.7012,0.503,23.08902241,1.24,3846.0
KOI,K00314.01,1.0,1.0,756.0,2.3188,0.503,13.78109471,1.42,3846.0
KOI,K00571.03,1.0,1.0,471.3,1.7574,0.443,3.886795001,0.97,3751.0
KOI,K01422.03,1.0,1.0,748.7,1.853,0.383,10.8644095,1.14,3526.0
KOI,K03094.01,1.0,1.0,710.0,0.949,0.497,4.5770016,1.33,3805.0
KOI,K01843.01,1.0,1.0,660.7,1.7807,0.522,4.194496867,1.57,3706.0
KOI,K00478.01,1.0,1.0,1795.5,1.4814,0.537,11.023474798,2.46,3744.0
KOI,K00247.01,1.0,1.0,1032.6,2.3244,0.509,13.81504449,1.91,3732.0
KOI,K01725.01,1.0,1.0,1472.7,1.8915,0.422,9.8786461,1.6,3609.0
KOI,K01422.01,1.0,1.0,1336.3,1.8734,0.383,5.841636615,1.38,3526.0
KOI,K03034.01,1.0,1.0,859.5,2.012,0.48,31.0209175,1.66,3720.0
KOI,K00249.01,1.0,1.0,1826.9,1.5832,0.369,9.549277089,1.57,3547.0
KOI,K00899.01,1.0,1.0,807.6,2.1764,0.411,7.11373257,1.16,3561.0
KOI,K01868.01,1.0,1.0,1287.2,1.6679,0.516,17.76076524,1.93,3826.0
KOI,K01174.01,1.0,1.0,1474.9,9.408,0.726,129995.7784,2.99,4500.0
